true,predicted
0,0.25997868137015256
1,0.4573540491719666
0,0.001
1,0.9491416005521901
1,0.6563421143487113
0,0.015093326586141348
0,0.001
1,0.999
1,0.8754801825940379
1,0.315515080724065
0,0.001
1,0.8247262005532702
1,0.8823542734533515
0,0.001
0,0.09978356459162574
1,0.9808558838869768
0,0.17818991765906583
1,0.9620708753236303
0,0.001
0,0.001
0,0.7025305882922377
1,0.5333328733737968
0,0.27997260729614537
0,0.22381057285724915
1,0.8504428023304306
0,0.28897969928060174
1,0.8169529275177074
0,0.44440732878185957
1,0.999
1,0.8339706905980139
0,0.4136800179371207
1,0.5245783635021413
0,0.5082213374446878
0,0.2540828021294263
0,0.15478097996386855
1,0.6823270630828178
1,0.694176211108488
0,0.001
1,0.8565187118426283
1,0.6939741845294872
0,0.5325374827693501
1,0.4845002613797298
1,0.5732766187084326
1,0.6541729507348306
0,0.3210861816132698
0,0.3647414706760512
0,0.40040213279114056
0,0.30115877220324144
1,0.6202839002925937
0,0.25472779390709593
1,0.5402020349449157
1,0.999
1,0.6537740308816988
0,0.08052107827894645
0,0.001
1,0.7654956921068297
0,0.42888017941012657
1,0.3226854542670688
1,0.999
0,0.20098945577338037
1,0.7373900011578841
0,0.2470324525744447
0,0.08666900152897211
1,0.9380619626157854
1,0.8995784724605194
0,0.10940105486123142
1,0.8632992088284988
0,0.01866097801773184
0,0.001
1,0.8881202684034886
0,0.6474233794636339
1,0.7064694588872695
0,0.19586666334739158
0,0.045598197098078996
1,0.642928269525892
0,0.10118222477732897
0,0.001
0,0.29496011229728847
1,0.8530420169357152
1,0.6060286610933996
0,0.29856060336068724
0,0.36542189030865624
1,0.710199619024984
1,0.7240363561708686
1,0.47379645321556524
1,0.6484081562622472
1,0.999
0,0.034256838941726264
0,0.0719509788013383
1,0.6453870335848689
1,0.7739177428403652
1,0.999
1,0.8915625390191492
1,0.7435397289872938
0,0.001
1,0.9280765407697311
0,0.004462301723373224
0,0.35012447299490684
0,0.6766892970392135
0,0.30471068944124907
0,0.2159128740499887
0,0.41671207606348326
1,0.985407105411569
0,0.12024687826747515
1,0.9638477401410848
0,0.19878638311887797
0,0.29440887732807836
1,0.999
0,0.45704224151471284
0,0.5036448689605032
1,0.7539530219113962
1,0.5036392782417337
1,0.8071768054637221
0,0.30728704860298045
0,0.27902871236556553
1,0.9452037603560519
1,0.9894998170722511
1,0.8778854885492522
